fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,0.6883804801804619,xgvspuq0,0.6914450199289952,0.3878141384264221
steps,1,in_context,1,0.6962695193651999,036whkx1,0.702306562540173,0.3919362959047752
steps,1,in_context,2,0.7065944706808949,o4n2s2tn,0.7064751598201463,0.3923989561695611
steps,1,in_context,3,0.6948624003116509,ezyubou3,0.7040427123661795,0.390114600491119
steps,1,in_context,4,0.7029146563452799,fgonoz22,0.7085975757823066,0.3947449749983409
steps,1,few_shot,0,0.9225678463046066,k60g2z06,0.934498596613452,0.5155503675158968
steps,1,few_shot,1,0.8877272988921423,cr7mhd7m,0.892345192699242,0.4981106362053576
steps,1,few_shot,2,0.9112917193759852,x5td9oxu,0.9183283173243172,0.5108314917807933
steps,1,few_shot,3,0.899034817754217,8pekbc1o,0.9122030009730876,0.5138251253227144
steps,1,few_shot,4,0.9546440251820336,m6pd58to,0.9037399972883222,0.5040789853805037
steps,2,in_context,0,1.090171892346421,rlumymu7,1.1053830797101678,0.6177156403960163
steps,2,in_context,1,1.075600248294982,ooh5pytv,1.0784053148490398,0.6029187417776717
steps,2,in_context,2,1.0863797025214268,ada3h10k,1.0917296836342116,0.609550314138578
steps,2,in_context,3,1.088301011706832,qvnfrj9m,1.0790349183351984,0.6040469064682077
steps,2,in_context,4,1.084539715255709,kwsywqlr,1.0987854737891405,0.6137888330614599
steps,2,few_shot,0,1.3805549676564306,ijkoaf3d,1.3771518733506989,0.791178290062735
steps,2,few_shot,1,1.3782306033767249,kbikqz7n,1.3678694297993863,0.7822276566396256
steps,2,few_shot,2,1.3647155752255236,pfkdkute,1.36481276015814,0.7819011769240009
steps,2,few_shot,3,1.38637965105923,pyhnh0wp,1.374418405185632,0.7878249031321555
steps,2,few_shot,4,1.3862437362497615,3c0qzgu3,1.360656990198417,0.7801386160255859
